bam_file_list	vcf_list	sample_explanation_pop_explanation	groups	altitud
./bam/PpTp2010_04:CABV0ANXX:3:508553.sort.bam	PpTp2010_04:CABV0ANXX:3:508553	PpTp201102_PpTp2011	Zpr>2000	1439
./bam/PpTp2010_05:CABV0ANXX:3:508554.sort.bam	PpTp2010_05:CABV0ANXX:3:508554	PpTp201103_PpTp2011	Zpr>2000	1439
./bam/PpTp2010_06:CABV0ANXX:3:508555.sort.bam	PpTp2010_06:CABV0ANXX:3:508555	PpTp201104_PpTp2011	Zpr>2000	1439
./bam/PpTp2010_07:CABV0ANXX:3:508556.sort.bam	PpTp2010_07:CABV0ANXX:3:508556	PpTp201105_PpTp2011	Zpr>2000	1439
./bam/RMM13_1:C7U03ANXX:7:250516109.sort.bam	RMM13_1:C7U03ANXX:7:250516109	TbTp200301_TbTp2003	Zpr>2000	982
./bam/RMM13_2:C7U03ANXX:7:250516117.sort.bam	RMM13_2:C7U03ANXX:7:250516117	TbTp200302_TbTp2003	Zpr>2000	982
./bam/RMM13_3:C7U03ANXX:7:250516125.sort.bam	RMM13_3:C7U03ANXX:7:250516125	TbTp200303_TbTp2003	Zpr>2000	982
./bam/RMM13_4:C7U03ANXX:7:250516133.sort.bam	RMM13_4:C7U03ANXX:7:250516133	TbTp200304_TbTp2003	Zpr>2000	982
./bam/RMM13_5:C7U03ANXX:7:250516141.sort.bam	RMM13_5:C7U03ANXX:7:250516141	TbTp200305_TbTp2003	Zpr>2000	982
./bam/RMM15_1:C7U03ANXX:7:250516149.sort.bam	RMM15_1:C7U03ANXX:7:250516149	TbNa200301_TbNa2003	LR>2000	982
./bam/RMM15_2:C7U03ANXX:7:250516165.sort.bam	RMM15_2:C7U03ANXX:7:250516165	TbNa200302_TbNa2003	LR>2000	982
./bam/RMM15_3:C7U03ANXX:7:250516157.sort.bam	RMM15_3:C7U03ANXX:7:250516157	TbNa200303_TbNa2003	LR>2000	982
./bam/RMM15_4:C7U03ANXX:7:250516173.sort.bam	RMM15_4:C7U03ANXX:7:250516173	TbNa200304_TbNa2003	LR>2000	982
./bam/RMM15_5:C7U03ANXX:7:250516181.sort.bam	RMM15_5:C7U03ANXX:7:250516181	TbNa200305_TbNa2003	LR>2000	982
./bam/SJAH12015_01:CABV0ANXX:1:508365.sort.bam	SJAH12015_01:CABV0ANXX:1:508365	SJH1201501_SJH12015	MV2	1577
./bam/SJAH12015_02:CABV0ANXX:1:508366.sort.bam	SJAH12015_02:CABV0ANXX:1:508366	SJH1201502_SJH12015	MV2	1577
./bam/SJAH12015_03:CABV0ANXX:1:508367.sort.bam	SJAH12015_03:CABV0ANXX:1:508367	SJH1201503_SJH12015	MV2	1577
./bam/SJAH12015_04:CABV0ANXX:1:508368.sort.bam	SJAH12015_04:CABV0ANXX:1:508368	SJH1201504_SJH12015	MV2	1577
./bam/SJAH12015_05:CABV0ANXX:1:508369.sort.bam	SJAH12015_05:CABV0ANXX:1:508369	SJH1201505_SJH12015	MV2	1577
./bam/SJATm2015_01:CABV0ANXX:1:508360.sort.bam	SJATm2015_01:CABV0ANXX:1:508360	SJTm201501_SJTm2015	Zmx>2000	1577
./bam/SJATm2015_02:CABV0ANXX:1:508361.sort.bam	SJATm2015_02:CABV0ANXX:1:508361	SJTm201502_SJTm2015	Zmx>2000	1577
./bam/SJATm2015_03:CABV0ANXX:1:508362.sort.bam	SJATm2015_03:CABV0ANXX:1:508362	SJTm201503_SJTm2015	Zmx>2000	1577
./bam/SJATm2015_04:CABV0ANXX:1:508363.sort.bam	SJATm2015_04:CABV0ANXX:1:508363	SJTm201504_SJTm2015	Zmx>2000	1577
./bam/SJATm2015_05:CABV0ANXX:1:508364.sort.bam	SJATm2015_05:CABV0ANXX:1:508364	SJTm201505_SJTm2015	Zmx>2000	1577
./bam/SJTm2002_01:CABV0ANXX:1:508355.sort.bam	SJTm2002_01:CABV0ANXX:1:508355	SJTm200201_SJTm2002	Zmx>2000	1597
./bam/SJTm2002_02:CABV0ANXX:1:508356.sort.bam	SJTm2002_02:CABV0ANXX:1:508356	SJTm200202_SJTm2002	Zmx>2000	1597
./bam/SJTm2002_03:CABV0ANXX:1:508357.sort.bam	SJTm2002_03:CABV0ANXX:1:508357	SJTm200203_SJTm2002	Zmx>2000	1597
./bam/SJTm2002_04:CABV0ANXX:1:508358.sort.bam	SJTm2002_04:CABV0ANXX:1:508358	SJTm200204_SJTm2002	Zmx>2000	1597
./bam/SJTm2002_05:CABV0ANXX:1:508359.sort.bam	SJTm2002_05:CABV0ANXX:1:508359	SJTm200205_SJTm2002	Zmx>2000	1597
./bam/TbH12015_01:CABV0ANXX:3:508504.sort.bam	TbH12015_01:CABV0ANXX:3:508504	TbH1201501_TbH12015	MV1	1071
./bam/TbH12015_02:CABV0ANXX:3:508505.sort.bam	TbH12015_02:CABV0ANXX:3:508505	TbH1201502_TbH12015	MV1	1071
./bam/TbH12015_03:CABV0ANXX:3:508506.sort.bam	TbH12015_03:CABV0ANXX:3:508506	TbH1201503_TbH12015	MV1	1071
./bam/TbH12015_04:CABV0ANXX:3:508507.sort.bam	TbH12015_04:CABV0ANXX:3:508507	TbH1201504_TbH12015	MV1	1071
./bam/TbH12015_05:CABV0ANXX:3:508508.sort.bam	TbH12015_05:CABV0ANXX:3:508508	TbH1201505_TbH12015	MV1	1071
./bam/TbH12015_05:CABV0ANXX:3:508578.sort.bam	TbH12015_05:CABV0ANXX:3:508578	TbH1201506_TbH12015	MV1	1071
./bam/TbNa1946_01:CABV0ANXX:3:508535.sort.bam	TbNa1946_01:CABV0ANXX:3:508535	TbNa1946a6_TbNa1946a	LR<1960	870
./bam/TbNa1946_02:CABV0ANXX:3:508536.sort.bam	TbNa1946_02:CABV0ANXX:3:508536	TbNa1946a7_TbNa1946a	LR<1960	870
./bam/TbNa1946_03:CABV0ANXX:3:508537.sort.bam	TbNa1946_03:CABV0ANXX:3:508537	TbNa1946a8_TbNa1946a	LR<1960	870
./bam/TbNa1946_04:CABV0ANXX:3:508538.sort.bam	TbNa1946_04:CABV0ANXX:3:508538	TbNa1946b1_TbNa1946b	LR<1960	1517
./bam/TbNa1946_05:CABV0ANXX:3:508539.sort.bam	TbNa1946_05:CABV0ANXX:3:508539	TbNa1946b2_TbNa1946b	LR<1960	1517
./bam/TbNa1946_06:CABV0ANXX:3:508540.sort.bam	TbNa1946_06:CABV0ANXX:3:508540	TbNa1946b3_TbNa1946b	LR<1960	1517
./bam/TbNa1946_07:CABV0ANXX:3:508541.sort.bam	TbNa1946_07:CABV0ANXX:3:508541	TbNa1946b4_TbNa1946b	LR<1960	1517
./bam/TbNa1946_08:CABV0ANXX:3:508542.sort.bam	TbNa1946_08:CABV0ANXX:3:508542	TbNa1946b5_TbNa1946b	LR<1960	1517
./bam/TbNa1960_01:CABV0ANXX:1:508329.sort.bam	TbNa1960_01:CABV0ANXX:1:508329	TbNa196001_TbNa1960	LR>1960	1517
./bam/TbNa1960_02:CABV0ANXX:1:508330.sort.bam	TbNa1960_02:CABV0ANXX:1:508330	TbNa196002_TbNa1960	LR>1960	1517
./bam/TbNa1960_03:CABV0ANXX:1:508332.sort.bam	TbNa1960_03:CABV0ANXX:1:508332	TbNa196003_TbNa1960	LR>1960	1517
./bam/TbNa1960_04:CABV0ANXX:1:508333.sort.bam	TbNa1960_04:CABV0ANXX:1:508333	TbNa196004_TbNa1960	LR>1960	1517
./bam/TbNa1960_05:CABV0ANXX:1:508334.sort.bam	TbNa1960_05:CABV0ANXX:1:508334	TbNa196005_TbNa1960	LR>1960	1517
./bam/TbNa1960_06:CABV0ANXX:1:508335.sort.bam	TbNa1960_06:CABV0ANXX:1:508335	TbNa196006_TbNa1960	LR>1960	1517
./bam/TbNa2015_01:CABV0ANXX:3:508494.sort.bam	TbNa2015_01:CABV0ANXX:3:508494	TbNa201501_TbNa2015	LR>2000	1071
./bam/TbNa2015_02:CABV0ANXX:3:508495.sort.bam	TbNa2015_02:CABV0ANXX:3:508495	TbNa201502_TbNa2015	LR>2000	1071
./bam/TbNa2015_03:CABV0ANXX:3:508496.sort.bam	TbNa2015_03:CABV0ANXX:3:508496	TbNa201503_TbNa2015	LR>2000	1071
./bam/TbNa2015_04:CABV0ANXX:3:508497.sort.bam	TbNa2015_04:CABV0ANXX:3:508497	TbNa201504_TbNa2015	LR>2000	1071
./bam/TbNa2015_05:CABV0ANXX:3:508498.sort.bam	TbNa2015_05:CABV0ANXX:3:508498	TbNa201505_TbNa2015	LR>2000	1071
./bam/TbTp1983_01:CABV0ANXX:3:508548.sort.bam	TbTp1983_01:CABV0ANXX:3:508548	TbTp198301_TbTp1983	Zpr1980	980
./bam/TbTp1983_02:CABV0ANXX:3:508549.sort.bam	TbTp1983_02:CABV0ANXX:3:508549	TbTp198302_TbTp1983	Zpr1980	980
./bam/TbTp1983_03:CABV0ANXX:3:508550.sort.bam	TbTp1983_03:CABV0ANXX:3:508550	TbTp198303_TbTp1983	Zpr1980	980
./bam/TbTp2014_01:CABV0ANXX:3:508509.sort.bam	TbTp2014_01:CABV0ANXX:3:508509	TbTp201401_TbTp2014	Zpr>2000	982
